snapshot_date,package_downloads,package_delta,deb_downloads,rpm_downloads
2026-07-13,6454,0,4337,2117
2026-07-14,6480,26,4356,2124
2026-07-15,6516,36,4384,2132
2026-07-16,6734,218,4536,2198
2026-07-17,6754,20,4551,2203
2026-07-18,6823,69,4605,2218
2026-07-19,6858,35,4625,2233
2026-07-20,6871,13,4635,2236
2026-07-21,6926,55,4673,2253
2026-07-22,6992,66,4719,2273
2026-07-23,7034,42,4749,2285
2026-07-24,7055,21,4767,2288
2026-07-25,7097,42,4792,2305
2026-07-26,7117,20,4806,2311
2026-07-27,7118,1,4806,2312
2026-07-28,7156,38,4828,2328
2026-07-29,7178,22,4845,2333
2026-07-30,7193,15,4855,2338
2026-07-31,7208,15,4866,2342
2026-08-01,7208,0,4866,2342
2026-08-02,7210,2,4868,2342
2026-08-03,7210,0,4868,2342
2026-08-04,7210,0,4868,2342
2026-08-05,7217,7,4874,2343
2026-08-06,7217,0,4874,2343
2026-08-07,7229,12,4885,2344
2026-08-08,7243,14,4895,2348
2026-08-09,7300,57,4940,2360
2026-08-10,7342,42,4970,2372
2026-08-11,7385,43,5001,2384
2026-08-12,7424,39,5030,2394
2026-08-13,7429,5,5035,2394
2026-08-14,7473,44,5069,2404
