snapshot_date,snapshot_at,package_downloads,package_delta,deb_downloads,rpm_downloads,standalone_binary_downloads,metadata_downloads,all_release_asset_downloads,stars,forks,open_issues,rolling_14d_clones,rolling_14d_unique_cloners,rolling_14d_views,rolling_14d_unique_visitors
2026-07-13,2026-07-13T22:00:39Z,6454,0,4337,2117,695,3534,11094,7,0,10,19011,603,425,216
2026-07-14,2026-07-14T05:39:26Z,6480,26,4356,2124,700,3548,11139,7,0,9,19655,615,464,228
2026-07-15,2026-07-15T05:40:40Z,6516,36,4384,2132,706,3563,11196,7,0,9,19655,615,464,228
2026-07-16,2026-07-16T05:48:26Z,6734,218,4536,2198,713,3582,11441,7,0,10,18712,584,751,499
2026-07-17,2026-07-17T05:49:38Z,6754,20,4551,2203,716,3585,11467,7,0,9,18712,584,751,499
2026-07-18,2026-07-18T05:36:18Z,6823,69,4605,2218,724,3602,11562,7,0,9,90650,645,824,559
2026-07-19,2026-07-19T06:06:45Z,6858,35,4625,2233,727,3628,11626,7,0,9,90650,645,824,559
2026-07-20,2026-07-20T06:24:59Z,6871,13,4635,2236,727,3630,11641,7,0,10,88412,572,852,601
2026-07-21,2026-07-21T06:04:58Z,6926,55,4673,2253,733,3657,11729,7,0,11,86872,546,867,613
2026-07-22,2026-07-22T06:03:40Z,6992,66,4719,2273,739,3685,11829,7,0,9,86480,565,867,624
2026-07-23,2026-07-23T06:08:57Z,7034,42,4749,2285,741,3700,11888,7,0,9,86636,589,948,681
2026-07-24,2026-07-24T06:03:01Z,7055,21,4767,2288,742,3705,11915,7,0,10,90556,561,949,687
2026-07-25,2026-07-25T05:51:36Z,7097,42,4792,2305,746,3730,11986,7,0,9,90255,555,972,700
